homw_ownership,income,dti,fico,loan_status
0,25000,27.6,660,0
0,50000,21.51,715,1
1,100000,8.14,770,1
0,75000,1.76,685,0
1,78000,16.11,680,1
0,99000,18.51,660,0
0,85000,6.89,675,1
0,31000,31.86,690,1
1,117000,5.52,680,1
1,20259.2,15.76,710,0
1,215000,10.96,675,1
0,66000,22,775,1
1,45000,9.76,665,1
1,75000,41.62,715,0
0,35000,9.43,765,1
0,46000,29.92,740,1
1,65000,17.74,735,1
1,60000,18.36,790,1
1,112000,14.02,765,1
1,88975,27.71,670,1
1,80000,3.91,670,1
1,72000,28.5,660,1
0,300000,10.15,695,1
1,60000,23.48,675,1
1,93000,24.09,665,1
0,38000,7.14,680,1
1,100000,7.08,720,1
0,37500,19.26,670,1
0,50000,8.24,705,1
1,49600,32.73,665,1
1,30000,25.52,675,0
0,45000,24.19,695,0
1,76000,14.44,665,1
1,72588,24.43,670,1
0,59000,24.45,670,1
0,50000,8.55,665,1
1,76000,13.09,670,1
0,40000,24.15,720,1
1,70000,33.14,725,0
1,75000,7.66,795,1
0,48000,15.53,675,1
1,150000,15.4,710,1
0,30000,25.32,705,1
0,69000,7.39,690,1
1,139000,13.72,670,0
0,32532,28.88,730,1
0,75000,4.62,700,0
0,52500,14.86,660,1
1,200000,12.91,700,0
1,72000,34.32,665,1
1,100000,22,695,1
0,30000,26,695,0
0,60375,13.48,680,1
1,65000,3.4,710,1
1,60000,19.78,690,1
1,70000,16.16,680,0
1,137000,16.21,735,1
0,72000,16.4,730,1
1,93240,14.05,725,1
0,80000,17.1,665,0
0,33000,31.6,735,1
0,36000,14.1,670,1
1,72000,14.65,680,1
1,99000,18.15,760,1
0,54000,15.64,675,1
1,115000,14.87,720,1
0,90000,8.72,710,1
1,98800,23.06,685,0
1,90000,11.42,810,1
1,96700,19.63,675,1
1,84000,20.71,725,1
1,91000,10.3,660,0
1,100000,17.7,665,0
1,60000,24.24,710,1
0,95000,22.21,710,1
0,118000,14.55,670,1
0,325000,7.99,665,1
0,25000,23.52,705,1
0,72000,6.6,805,1
1,84000,10.2,685,1
0,38000,30.16,665,1
1,35334,1.49,680,1
1,72500,24.66,690,1
0,118000,15.1,690,1
0,49000,34.46,690,1
1,59885,30.03,685,0
0,48000,19.32,675,1
1,65000,23.15,670,0
1,93000,24.39,660,1
0,72000,11.4,665,1
1,60500,25.45,660,0
0,43000,28.8,685,1
1,48000,8.88,695,1
0,44241.6,17.82,670,1
1,115000,24.78,770,1
0,36000,29.63,695,0
1,180000,4.86,675,1
1,67000,18.77,680,1
0,65000,28.01,665,1
1,128000,18.1,710,0
0,48000,24.28,660,1
1,100000,22.78,660,1
0,117000,21.38,685,1
1,56000,24.52,720,1
1,56892,25.86,690,0
1,156000,16.02,730,1
0,25000,23.24,785,1
1,60000,16.66,685,1
1,25640,12.17,665,0
1,100000,16.22,790,1
0,26000,18.37,670,0
0,41000,21.75,700,1
1,80000,24.87,715,1
0,69000,26.28,695,1
1,70000,23.76,685,0
1,90000,13.51,740,1
1,73200,3.31,710,1
0,76000,9.84,730,1
1,79164,14.54,735,0
0,75000,31.18,660,1
0,50000,13.47,680,1
0,62000,13.53,705,1
