Month,SB Non-US Bonds,MSCI EAFE,CRSP VW US common stocks,US Corp Bonds,Money Market
Jan 1985,-0.87%,2.28%,8.58%,2.86%,0.61%
Feb 1985,-4.52%,-0.56%,1.70%,-2.57%,0.62%
Mar 1985,8.10%,7.79%,-0.19%,1.92%,0.62%
Apr 1985,0.67%,-0.31%,-0.22%,2.21%,0.65%
May 1985,2.82%,4.28%,5.59%,6.17%,0.59%
Jun 1985,2.31%,2.60%,1.72%,0.79%,0.57%
Jul 1985,7.26%,5.20%,-0.06%,-0.41%,0.54%
Aug 1985,0.28%,3.24%,-0.47%,2.35%,0.57%
Sep 1985,6.92%,5.88%,-3.97%,0.06%,0.57%
Oct 1985,1.46%,6.83%,4.46%,2.41%,0.57%
Nov 1985,4.86%,4.14%,6.93%,2.55%,0.58%
Dec 1985,1.83%,4.77%,4.33%,3.24%,0.53%
Jan 1986,2.29%,2.54%,0.98%,0.74%,0.48%
Feb 1986,8.39%,11.11%,7.29%,4.67%,0.55%
Mar 1986,4.01%,14.09%,5.39%,2.40%,0.56%
Apr 1986,6.47%,6.57%,-0.81%,0.54%,0.51%
May 1986,-5.34%,-4.42%,5.08%,-1.11%,0.48%
Jun 1986,6.26%,6.84%,1.43%,1.86%,0.50%
Jul 1986,3.76%,6.19%,-5.97%,0.45%,0.48%
Aug 1986,1.92%,9.88%,6.64%,2.03%,0.46%
Sep 1986,-2.26%,-1.00%,-7.92%,-0.29%,0.42%
Oct 1986,-3.12%,-6.66%,4.94%,1.67%,0.42%
Nov 1986,2.48%,5.79%,1.52%,1.43%,0.42%
Dec 1986,3.64%,5.32%,-2.66%,0.90%,0.40%
Jan 1987,4.93%,10.64%,12.84%,2.16%,0.42%
Feb 1987,2.25%,3.02%,4.76%,0.60%,0.45%
Mar 1987,5.74%,8.22%,2.33%,-0.40%,0.44%
Apr 1987,3.88%,10.60%,-1.71%,-3.35%,0.42%
May 1987,-1.41%,0.02%,0.52%,-0.46%,0.40%
