Date,NASDAQ Close
21-Mar-00,4711.68
22-Mar-00,4864.75
23-Mar-00,4940.61
24-Mar-00,4963.03
27-Mar-00,4958.56
28-Mar-00,4833.89
29-Mar-00,4644.67
30-Mar-00,4457.89
31-Mar-00,4572.83
3-Apr-00,4223.68
4-Apr-00,4148.89
5-Apr-00,4169.22
6-Apr-00,4267.56
7-Apr-00,4446.45
10-Apr-00,4188.2
11-Apr-00,4055.9
12-Apr-00,3769.63
13-Apr-00,3676.78
14-Apr-00,3321.29
17-Apr-00,3539.16
18-Apr-00,3793.57
19-Apr-00,3706.41
20-Apr-00,3643.88
24-Apr-00,3482.48
25-Apr-00,3711.23
26-Apr-00,3630.09
27-Apr-00,3774.03
28-Apr-00,3860.66
1-May-00,3958.08
2-May-00,3785.45
3-May-00,3707.31
4-May-00,3720.24
5-May-00,3816.82
8-May-00,3669.38
9-May-00,3585.01
10-May-00,3384.73
11-May-00,3499.58
12-May-00,3529.06
15-May-00,3607.65
16-May-00,3717.57
17-May-00,3644.96
18-May-00,3538.71
19-May-00,3390.4
22-May-00,3364.21
23-May-00,3164.55
24-May-00,3270.61
25-May-00,3205.35
26-May-00,3205.11
30-May-00,3459.48
31-May-00,3400.91
1-Jun-00,3582.5
2-Jun-00,3813.38
5-Jun-00,3821.76
6-Jun-00,3756.37
7-Jun-00,3839.26
8-Jun-00,3825.56
9-Jun-00,3874.84
12-Jun-00,3767.91
13-Jun-00,3851.06
14-Jun-00,3797.41
15-Jun-00,3845.74
16-Jun-00,3860.56
19-Jun-00,3989.83
20-Jun-00,4013.36
21-Jun-00,4064.01
22-Jun-00,3936.84
23-Jun-00,3845.34
26-Jun-00,3912.12
27-Jun-00,3858.96
28-Jun-00,3940.34
29-Jun-00,3877.23
30-Jun-00,3966.11
3-Jul-00,3991.93
5-Jul-00,3863.1
6-Jul-00,3960.57
7-Jul-00,4023.2
10-Jul-00,3980.29
11-Jul-00,3956.42
12-Jul-00,4099.59
13-Jul-00,4174.86
14-Jul-00,4246.18
17-Jul-00,4274.67
18-Jul-00,4177.17
19-Jul-00,4055.63
20-Jul-00,4184.56
21-Jul-00,4094.45
24-Jul-00,3981.57
25-Jul-00,4029.57
26-Jul-00,3987.72
27-Jul-00,3842.23
28-Jul-00,3663
31-Jul-00,3766.99
1-Aug-00,3685.52
2-Aug-00,3658.46
3-Aug-00,3759.88
4-Aug-00,3787.36
7-Aug-00,3862.99
8-Aug-00,3848.55
9-Aug-00,3853.5
10-Aug-00,3759.99
11-Aug-00,3789.47
14-Aug-00,3849.69
15-Aug-00,3851.66
16-Aug-00,3861.2
17-Aug-00,3940.87
18-Aug-00,3930.34
21-Aug-00,3953.15
22-Aug-00,3958.21
23-Aug-00,4011.01
24-Aug-00,4053.28
25-Aug-00,4042.68
28-Aug-00,4070.59
29-Aug-00,4082.17
30-Aug-00,4103.81
31-Aug-00,4206.35
1-Sep-00,4234.33
5-Sep-00,4143.18
6-Sep-00,4013.34
7-Sep-00,4098.35
8-Sep-00,3978.41
11-Sep-00,3896.35
12-Sep-00,3849.51
13-Sep-00,3893.89
14-Sep-00,3913.86
15-Sep-00,3835.23
18-Sep-00,3726.52
19-Sep-00,3865.64
20-Sep-00,3897.44
21-Sep-00,3828.87
22-Sep-00,3803.76
25-Sep-00,3741.22
26-Sep-00,3689.1
27-Sep-00,3656.3
28-Sep-00,3778.32
29-Sep-00,3672.82
2-Oct-00,3568.9
3-Oct-00,3455.83
4-Oct-00,3523.1
5-Oct-00,3472.1
6-Oct-00,3361.01
9-Oct-00,3355.56
10-Oct-00,3240.54
11-Oct-00,3168.49
12-Oct-00,3074.68
13-Oct-00,3316.77
16-Oct-00,3290.28
17-Oct-00,3213.96
18-Oct-00,3171.56
19-Oct-00,3418.6
20-Oct-00,3483.14
23-Oct-00,3468.69
24-Oct-00,3419.79
25-Oct-00,3229.57
26-Oct-00,3272.18
27-Oct-00,3278.36
30-Oct-00,3191.4
31-Oct-00,3369.63
1-Nov-00,3333.39
2-Nov-00,3429.02
3-Nov-00,3451.58
6-Nov-00,3416.21
7-Nov-00,3415.79
8-Nov-00,3231.7
9-Nov-00,3200.35
10-Nov-00,3028.99
13-Nov-00,2966.72
14-Nov-00,3138.27
15-Nov-00,3165.49
16-Nov-00,3031.88
17-Nov-00,3027.19
20-Nov-00,2875.64
21-Nov-00,2871.45
22-Nov-00,2755.34
24-Nov-00,2904.38
27-Nov-00,2880.49
28-Nov-00,2734.98
29-Nov-00,2706.93
30-Nov-00,2597.93
1-Dec-00,2645.29
4-Dec-00,2615.75
5-Dec-00,2889.8
6-Dec-00,2796.5
7-Dec-00,2752.66
8-Dec-00,2917.43
11-Dec-00,3015.1
12-Dec-00,2931.77
13-Dec-00,2822.77
14-Dec-00,2728.51
15-Dec-00,2653.27
18-Dec-00,2624.52
19-Dec-00,2511.71
20-Dec-00,2332.78
21-Dec-00,2340.12
22-Dec-00,2517.02
26-Dec-00,2493.52
27-Dec-00,2539.35
28-Dec-00,2557.76
29-Dec-00,2470.52
2-Jan-01,2291.86
3-Jan-01,2616.69
4-Jan-01,2566.83
5-Jan-01,2407.65
8-Jan-01,2395.92
9-Jan-01,2441.3
10-Jan-01,2524.18
11-Jan-01,2640.57
12-Jan-01,2626.5
16-Jan-01,2618.55
17-Jan-01,2682.78
18-Jan-01,2768.49
19-Jan-01,2770.38
22-Jan-01,2757.91
23-Jan-01,2840.39
24-Jan-01,2859.15
25-Jan-01,2754.28
26-Jan-01,2781.3
29-Jan-01,2838.34
30-Jan-01,2838.35
31-Jan-01,2772.73
1-Feb-01,2782.79
2-Feb-01,2660.5
5-Feb-01,2643.21
6-Feb-01,2664.49
7-Feb-01,2607.82
8-Feb-01,2562.06
9-Feb-01,2470.97
12-Feb-01,2489.66
13-Feb-01,2427.72
14-Feb-01,2491.4
15-Feb-01,2552.91
16-Feb-01,2425.38
20-Feb-01,2318.35
21-Feb-01,2268.94
22-Feb-01,2244.96
23-Feb-01,2262.51
26-Feb-01,2308.5
27-Feb-01,2207.82
28-Feb-01,2151.83
1-Mar-01,2183.37
2-Mar-01,2117.63
5-Mar-01,2142.92
6-Mar-01,2204.43
7-Mar-01,2223.92
8-Mar-01,2168.73
9-Mar-01,2052.78
12-Mar-01,1923.38
13-Mar-01,2014.78
14-Mar-01,1972.09
15-Mar-01,1940.71
16-Mar-01,1890.91
19-Mar-01,1951.18
20-Mar-01,1857.44
21-Mar-01,1830.23
22-Mar-01,1897.7
23-Mar-01,1928.68
26-Mar-01,1918.49
27-Mar-01,1972.23
28-Mar-01,1854.13
29-Mar-01,1820.57
30-Mar-01,1840.26
2-Apr-01,1782.97
3-Apr-01,1673
4-Apr-01,1638.8
5-Apr-01,1785
6-Apr-01,1720.36
9-Apr-01,1745.71
10-Apr-01,1852.03
11-Apr-01,1898.95
12-Apr-01,1961.43
16-Apr-01,1909.57
17-Apr-01,1923.22
18-Apr-01,2079.44
